State,State Tax Rate,Rank,Avg. Local Tax Rate,Combined Rate,Rank,Max Local Tax Rate
Alabama,4%,40,5%,9%,5,8%
Alaska,0%,46,2%,2%,46,8%
Arizona,6%,28,3%,8%,12,5%
Arkansas,7%,9,3%,9%,3,6%
California (a),7%,1,2%,9%,8,5%
Colorado,3%,45,5%,8%,16,8%
Connecticut,6%,12,0%,6%,33,0%
Delaware,0%,46,0%,0%,47,0%
Florida,6%,17,1%,7%,24,2%
Georgia,4%,40,3%,7%,19,5%
Hawaii (b),4%,40,1%,5%,45,1%
Idaho,6%,17,0%,6%,37,3%
Illinois,6%,13,3%,9%,7,5%
Indiana,7%,2,0%,7%,25,0%
Iowa,6%,17,1%,7%,29,2%
Kansas,7%,9,2%,9%,9,4%
Kentucky,6%,17,0%,6%,38,0%
Louisiana,4%,37,5%,10%,1,7%
Maine,6%,29,0%,6%,43,0%
Maryland,6%,17,0%,6%,38,0%
Massachusetts,6%,13,0%,6%,35,0%
Michigan,6%,17,0%,6%,38,0%
Minnesota,7%,6,1%,8%,15,2%
Mississippi,7%,2,0%,7%,22,1%
Missouri,4%,38,4%,8%,11,6%
Montana (c),0%,46,0%,0%,47,0%
Nebraska,6%,29,1%,7%,28,2%
Nevada,7%,7,1%,8%,13,2%
New Hampshire,0%,46,0%,0%,47,0%
New Jersey (d),7%,8,0%,7%,30,3%
New Mexico (b),5%,34,3%,8%,17,4%
New York,4%,40,5%,9%,10,5%
North Carolina,5%,35,2%,7%,27,3%
North Dakota,5%,32,2%,7%,23,4%
Ohio,6%,27,1%,7%,21,2%
Oklahoma,5%,36,4%,9%,6,7%
Oregon,0%,46,0%,0%,47,0%
Pennsylvania,6%,17,0%,6%,34,2%
Rhode Island,7%,2,0%,7%,25,0%
South Carolina,6%,17,1%,7%,18,3%
South Dakota (b),4%,39,2%,6%,36,5%
Tennessee,7%,2,3%,10%,2,3%
Texas,6%,13,2%,8%,14,2%
Utah (a),6%,16,1%,7%,20,4%
Vermont,6%,17,0%,6%,32,1%
Virginia (a),5%,31,0%,6%,41,3%
Washington,7%,9,3%,9%,4,4%
West Virginia,6%,17,1%,7%,31,1%
Wisconsin,5%,32,1%,6%,42,3%
Wyoming,4%,40,1%,5%,44,2%
District of Columbia,6%,N/A,0%,6%,N/A,0%
